question_id,domain,jurisdiction,question_text
Q001,Criminal Law,United States,"What is the leading US Supreme Court authority on the admissibility of evidence obtained during a warrantless search of a motor vehicle?"
Q002,Criminal Law,United States,"Under Miranda v. Arizona, what are the precise circumstances in which law enforcement must inform a suspect of their right to counsel before questioning?"
Q003,Criminal Law,United States,"What is the constitutional standard for determining whether a criminal sentence constitutes cruel and unusual punishment under the Eighth Amendment?"
Q004,Criminal Law,United States,"What did the Supreme Court hold in Terry v. Ohio regarding the lawfulness of a stop-and-frisk by a police officer?"
Q005,Criminal Law,United States,"Under US federal law, what are the elements a prosecutor must establish to secure a conviction for wire fraud?"
Q006,Criminal Law,United States,"What is the doctrine of double jeopardy and how did the Supreme Court define its scope in Blockburger v. United States?"
Q007,Criminal Law,United States,"What standard applies to ineffective assistance of counsel claims under the Sixth Amendment following Strickland v. Washington?"
Q008,Criminal Law,United States,"How have federal courts interpreted the scope of the Fourth Amendment exclusionary rule following United States v. Leon?"
Q009,Criminal Law,United States,"What did the Supreme Court decide in Brady v. Maryland regarding prosecutorial disclosure of exculpatory evidence?"
Q010,Criminal Law,United States,"What is the legal standard for determining competency to stand trial in federal criminal proceedings?"
Q011,Criminal Law,United States,"How has the US Supreme Court addressed the use of jailhouse informant testimony in criminal proceedings?"
Q012,Criminal Law,United States,"What is the Confrontation Clause and how did Crawford v. Washington change its application?"
Q013,Criminal Law,United States,"Under what circumstances may federal courts grant habeas corpus relief in criminal cases following AEDPA?"
Q014,Criminal Law,United States,"What constitutional limitations govern the admissibility of eyewitness identification evidence in US criminal trials?"
Q015,Criminal Law,United States,"How did the Supreme Court in Roper v. Simmons address the constitutionality of the death penalty for juvenile offenders?"
Q016,Criminal Law,United States,"What standard governs the search of digital devices by law enforcement following Riley v. California?"
Q017,Criminal Law,United States,"How does US federal sentencing law treat mandatory minimum sentences following Apprendi v. New Jersey?"
Q018,Criminal Law,United States,"What is the legal test for entrapment in US federal criminal law and which case established it?"
Q019,Criminal Law,United States,"How have courts interpreted the scope of the right to a speedy trial under the Sixth Amendment?"
Q020,Criminal Law,United States,"What are the constitutional requirements for a valid guilty plea in US federal criminal proceedings?"
Q021,Criminal Law,United States,"How did Batson v. Kentucky limit the use of peremptory challenges in criminal jury selection?"
Q022,Criminal Law,United States,"What is the felony murder rule and how have US courts limited its application?"
Q023,Criminal Law,United States,"Under what circumstances does the Fifth Amendment privilege against self-incrimination apply in civil proceedings?"
Q024,Criminal Law,United States,"What is the test for determining whether a criminal statute is unconstitutionally vague?"
Q025,Criminal Law,United States,"How did United States v. Booker affect the application of the Federal Sentencing Guidelines?"
Q026,Criminal Law,United States,"What is the standard for granting a new trial based on newly discovered evidence in federal criminal cases?"
Q027,Criminal Law,United States,"How have courts applied the doctrine of transferred intent in US criminal law?"
Q028,Criminal Law,United States,"What constitutes an unreasonable seizure under the Fourth Amendment following Brendlin v. California?"
Q029,Criminal Law,United States,"What are the elements of a Bivens action in the context of federal law enforcement misconduct?"
Q030,Criminal Law,United States,"How did Kansas v. Glover address the lawfulness of traffic stops based on database information about registered owners?"
Q031,Criminal Law,United States,"What standard governs the admissibility of expert forensic evidence in US federal criminal trials?"
Q032,Criminal Law,United States,"How has the Supreme Court addressed proportionality review in non-capital criminal sentencing?"
Q033,Criminal Law,United States,"What is the scope of the attorney-client privilege in the context of US criminal grand jury proceedings?"
Q034,Criminal Law,United States,"How did Carpenter v. United States address government access to historical cell-site location information?"
Q035,Criminal Law,United Kingdom,"What is the leading English authority on the mens rea required for murder and how has it been clarified by subsequent case law?"
Q036,Criminal Law,United Kingdom,"Under the Police and Criminal Evidence Act 1984, what are the conditions that must be satisfied before a police officer may arrest a person without a warrant?"
Q037,Criminal Law,United Kingdom,"How have English courts interpreted the defence of loss of control following the Coroners and Justice Act 2009?"
Q038,Criminal Law,United Kingdom,"What is the Turnbull direction and in what circumstances must a judge give it to a jury in England and Wales?"
Q039,Criminal Law,United Kingdom,"How has the Court of Appeal addressed the admissibility of bad character evidence under the Criminal Justice Act 2003?"
Q040,Criminal Law,United Kingdom,"What is the leading English authority on the scope of the defence of duress in serious criminal cases?"
Q041,Criminal Law,United Kingdom,"Under the Serious Organised Crime and Police Act 2005, what is the legal framework governing immunity from prosecution?"
Q042,Criminal Law,United Kingdom,"How have English courts applied the doctrine of joint enterprise following R v Jogee?"
Q043,Criminal Law,United Kingdom,"What are the requirements for a valid caution under English criminal procedure law?"
Q044,Criminal Law,United Kingdom,"How has the Supreme Court of the United Kingdom addressed the admissibility of confession evidence obtained by oppression?"
Q045,Criminal Law,United Kingdom,"What is the legal test for dishonesty in English criminal law following Ivey v Genting Casinos?"
Q046,Criminal Law,United Kingdom,"How have English courts interpreted the scope of the defence of self-defence under the Criminal Justice and Immigration Act 2008?"
Q047,Criminal Law,United Kingdom,"What is the current English authority on the standard of proof required for the prosecution of corporate manslaughter?"
Q048,Criminal Law,United Kingdom,"How has the Proceeds of Crime Act 2002 been interpreted by English courts in relation to confiscation orders?"
Q049,Criminal Law,United Kingdom,"What is the leading English authority on the right to silence and adverse inferences under the Criminal Justice and Public Order Act 1994?"
Q050,Criminal Law,United Kingdom,"How have English courts applied the provisions of the Fraud Act 2006 to online dishonesty offences?"
Q051,Criminal Law,United Kingdom,"What is the scope of the duty of disclosure under the Criminal Procedure and Investigations Act 1996?"
Q052,Criminal Law,United Kingdom,"How has the Court of Appeal addressed sentencing for serious violence offences following the Criminal Justice Act 2003?"
Q053,Criminal Law,United Kingdom,"What constitutes a course of conduct for the purposes of the Protection from Harassment Act 1997?"
Q054,Criminal Law,United Kingdom,"How did R v Jogee change the English law of parasitic accessory liability?"
Q055,Criminal Law,United Kingdom,"What are the elements of the offence of conspiracy to defraud under English common law?"
Q056,Criminal Law,United Kingdom,"How have English courts applied the principle of double jeopardy following the Criminal Justice Act 2003 reforms?"
Q057,Criminal Law,United Kingdom,"What is the leading authority on the admissibility of hearsay evidence in criminal proceedings in England and Wales?"
Q058,Criminal Law,United Kingdom,"How has the Supreme Court addressed the compatibility of indefinite sentences with Article 5 ECHR?"
Q059,Criminal Law,United Kingdom,"What is the scope of the offence of encouraging or assisting crime under the Serious Crime Act 2007?"
Q060,Criminal Law,United Kingdom,"How have English courts interpreted the mental element required for secondary liability in murder cases?"
Q061,Criminal Law,United Kingdom,"What is the leading English authority on the defence of diminished responsibility following the Coroners and Justice Act 2009?"
Q062,Criminal Law,United Kingdom,"How have courts in England and Wales addressed the use of cell site evidence in criminal proceedings?"
Q063,Criminal Law,United Kingdom,"What are the conditions under which a court in England and Wales may order a retrial following an acquittal?"
Q064,Criminal Law,United Kingdom,"How has the Court of Appeal interpreted the sentencing provisions for terrorist offences under the Counter-Terrorism Act 2008?"
Q065,Criminal Law,United Kingdom,"What is the leading authority on the scope of the right to a fair trial under Article 6 ECHR in English criminal proceedings?"
Q066,Criminal Law,United Kingdom,"How have English courts addressed the extraterritorial application of UK criminal law?"
Q067,Criminal Law,United Kingdom,"What is the current law on the mental element required for gross negligence manslaughter in England and Wales?"
Q068,Criminal Law,India,"What is the leading Supreme Court authority on the right against self-incrimination under Article 20(3) of the Indian Constitution?"
Q069,Criminal Law,India,"How has the Supreme Court of India interpreted the right to a speedy trial in the context of criminal proceedings?"
Q070,Criminal Law,India,"Under the Code of Criminal Procedure 1973, what are the conditions for the grant of anticipatory bail?"
Q071,Criminal Law,India,"What is the leading Indian Supreme Court authority on the admissibility of a confession made to a police officer?"
Q072,Criminal Law,India,"How has the Supreme Court of India addressed the constitutional validity of mandatory minimum sentences?"
Q073,Criminal Law,India,"What are the elements of the offence of culpable homicide not amounting to murder under Section 299 of the Indian Penal Code?"
Q074,Criminal Law,India,"How have Indian courts applied the doctrine of common intention under Section 34 of the Indian Penal Code?"
Q075,Criminal Law,India,"What is the leading Supreme Court authority on the scope of the right to legal aid in criminal proceedings under Article 22 of the Indian Constitution?"
Q076,Criminal Law,India,"How has the Supreme Court of India interpreted the provisions relating to capital punishment under Section 354(3) of the CrPC?"
Q077,Criminal Law,India,"What is the rarest of rare doctrine in Indian capital sentencing and which case established it?"
Q078,Criminal Law,India,"How have Indian courts applied the defence of private defence under Sections 96-106 of the Indian Penal Code?"
Q079,Criminal Law,India,"What is the legal standard for granting bail in cases involving serious offences under Indian criminal procedure?"
Q080,Criminal Law,India,"How has the Supreme Court of India interpreted the scope of the offence of sedition under Section 124A of the Indian Penal Code?"
Q081,Criminal Law,India,"What is the leading authority on the admissibility of electronic evidence in criminal proceedings in India?"
Q082,Criminal Law,India,"How have Indian courts interpreted the provisions of the Prevention of Money Laundering Act 2002 in criminal prosecutions?"
Q083,Criminal Law,India,"What is the standard of proof required for a conviction in criminal proceedings under Indian law?"
Q084,Criminal Law,India,"How has the Supreme Court of India addressed the issue of false confessions and custodial torture?"
Q085,Criminal Law,India,"What are the rights of an accused person at the time of arrest under Indian constitutional and statutory law?"
Q086,Criminal Law,India,"How have Indian courts applied the principle of double jeopardy under Article 20(2) of the Constitution?"
Q087,Criminal Law,India,"What is the leading Indian authority on the evidentiary value of dying declarations in criminal cases?"
Q088,Criminal Law,India,"How has the Supreme Court of India interpreted the scope of Section 498A of the Indian Penal Code relating to cruelty by husbands?"
Q089,Criminal Law,India,"What is the legal framework for the prosecution of organised crime under the Maharashtra Control of Organised Crime Act?"
Q090,Criminal Law,India,"How have Indian courts addressed the issue of delay in execution of the death penalty?"
Q091,Criminal Law,India,"What is the leading Supreme Court authority on the right to default bail under Section 167(2) of the CrPC?"
Q092,Criminal Law,India,"How has the Supreme Court interpreted the provisions of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act 1989?"
Q093,Criminal Law,India,"What are the constitutional limitations on preventive detention under Article 22 of the Indian Constitution?"
Q094,Criminal Law,India,"How have Indian courts applied the doctrine of plea bargaining following its introduction in the CrPC?"
Q095,Criminal Law,India,"What is the scope of the offence of criminal conspiracy under Section 120B of the Indian Penal Code?"
Q096,Criminal Law,India,"How has the Supreme Court of India interpreted the provisions of the POCSO Act in cases involving child sexual abuse?"
Q097,Criminal Law,India,"What is the leading authority on the rights of victims in criminal proceedings under Indian law?"
Q098,Criminal Law,India,"How have Indian courts addressed the use of narco-analysis and polygraph evidence in criminal investigations?"
Q099,Criminal Law,India,"What is the legal standard for the grant of parole and remission of sentence under Indian prison law?"
Q100,Criminal Law,India,"How has the Supreme Court of India addressed the issue of undertrial prisoners and prolonged pre-trial detention?"
Q101,Contract Law,United States,"What is the rule in Hadley v. Baxendale as applied by US courts to consequential damages in contract?"
Q102,Contract Law,United States,"How have US courts interpreted the implied covenant of good faith and fair dealing in commercial contracts?"
Q103,Contract Law,United States,"What is the parol evidence rule and how have US courts limited its application?"
Q104,Contract Law,United States,"Under US law, what are the requirements for a valid liquidated damages clause to be enforceable?"
Q105,Contract Law,United States,"How have US courts applied the doctrine of promissory estoppel as a substitute for consideration?"
Q106,Contract Law,United States,"What is the leading US authority on the enforceability of non-compete clauses in employment contracts?"
Q107,Contract Law,United States,"How have US courts interpreted force majeure clauses in commercial contracts following the COVID-19 pandemic?"
Q108,Contract Law,United States,"What is the test for determining whether a contract has been frustrated under US law?"
Q109,Contract Law,United States,"How have US courts addressed the enforceability of arbitration clauses in consumer contracts?"
Q110,Contract Law,United States,"What is the Uniform Commercial Code approach to battle of the forms in commercial sales contracts?"
Q111,Contract Law,United States,"How have US courts interpreted the doctrine of anticipatory repudiation in long-term commercial contracts?"
Q112,Contract Law,United States,"What is the leading US authority on the availability of specific performance as a remedy in contract disputes?"
Q113,Contract Law,United States,"How have US courts addressed the enforceability of limitation of liability clauses in commercial contracts?"
Q114,Contract Law,United States,"What is the doctrine of unconscionability in US contract law and how have courts applied it?"
Q115,Contract Law,United States,"How have US courts interpreted implied terms in employment contracts?"
Q116,Contract Law,United States,"What is the leading US authority on the requirements for a valid assignment of contractual rights?"
Q117,Contract Law,United States,"How have US courts applied the doctrine of mistake in contract formation?"
Q118,Contract Law,United States,"What remedies are available for fraudulent misrepresentation in the formation of a contract under US law?"
Q119,Contract Law,United States,"How have US courts interpreted the duty to mitigate damages in breach of contract cases?"
Q120,Contract Law,United States,"What is the leading authority on the formation of contracts by electronic communication under US law?"
Q121,Contract Law,United States,"How have US courts addressed the enforceability of penalty clauses distinguished from liquidated damages?"
Q122,Contract Law,United States,"What is the leading US authority on the scope of implied warranties in the sale of goods?"
Q123,Contract Law,United States,"How have US courts interpreted indemnity clauses in commercial contracts?"
Q124,Contract Law,United States,"What is the doctrine of efficient breach and how have US courts responded to it?"
Q125,Contract Law,United States,"How have US courts applied the principle of contra proferentem in the interpretation of ambiguous contract terms?"
Q126,Contract Law,United States,"What is the leading US authority on the enforceability of click-wrap and browse-wrap agreements?"
Q127,Contract Law,United States,"How have US courts addressed rescission as a remedy for breach of contract?"
Q128,Contract Law,United States,"What constitutes adequate consideration under US contract law following modern case authority?"
Q129,Contract Law,United States,"How have US courts interpreted entire agreement clauses in commercial contracts?"
Q130,Contract Law,United States,"What is the leading US authority on the availability of punitive damages in contract cases?"
Q131,Contract Law,United States,"How have US courts applied the doctrine of novation in commercial contract disputes?"
Q132,Contract Law,United States,"What is the leading US authority on the interpretation of exclusion clauses in commercial contracts?"
Q133,Contract Law,United States,"How have US courts addressed the issue of capacity to contract in relation to minors?"
Q134,Contract Law,United States,"What is the statute of frauds and how have US courts interpreted its requirements?"
Q135,Contract Law,United Kingdom,"What is the leading English authority on the test for implying terms into a commercial contract?"
Q136,Contract Law,United Kingdom,"How have English courts interpreted the Unfair Contract Terms Act 1977 in commercial disputes?"
Q137,Contract Law,United Kingdom,"What is the leading English authority on the remoteness of damage in contract following Transfield Shipping?"
Q138,Contract Law,United Kingdom,"How have English courts applied the doctrine of frustration following Davis Contractors v Fareham?"
Q139,Contract Law,United Kingdom,"What is the current English authority on the availability of damages for loss of chance in contract cases?"
Q140,Contract Law,United Kingdom,"How have English courts interpreted entire agreement clauses following Inntrepreneur Pub Co v East Crown?"
Q141,Contract Law,United Kingdom,"What is the leading English authority on the enforceability of penalty clauses following Cavendish Square v Makdessi?"
Q142,Contract Law,United Kingdom,"How have English courts applied the duty of good faith in long-term relational contracts?"
Q143,Contract Law,United Kingdom,"What is the leading English authority on the interpretation of commercial contracts following Investors Compensation Scheme v West Bromwich?"
Q144,Contract Law,United Kingdom,"How have English courts addressed the availability of specific performance in commercial contract disputes?"
Q145,Contract Law,United Kingdom,"What is the test for an effective exclusion of consequential loss under English contract law?"
Q146,Contract Law,United Kingdom,"How have English courts interpreted force majeure clauses in commercial contracts?"
Q147,Contract Law,United Kingdom,"What is the leading English authority on the scope of implied terms of quality in the sale of goods?"
Q148,Contract Law,United Kingdom,"How have English courts applied the doctrine of economic duress in commercial contracts?"
Q149,Contract Law,United Kingdom,"What is the leading English authority on rectification of a written contract for common mistake?"
Q150,Contract Law,United Kingdom,"How have English courts addressed the enforceability of restraint of trade clauses in employment contracts?"
Q151,Contract Law,United Kingdom,"What is the current English authority on the availability of restitutionary remedies following termination of contract?"
Q152,Contract Law,United Kingdom,"How have English courts interpreted notice requirements in commercial contracts?"
Q153,Contract Law,United Kingdom,"What is the leading English authority on the right to terminate for repudiatory breach?"
Q154,Contract Law,United Kingdom,"How have English courts applied the doctrine of promissory estoppel following Central London Property Trust v High Trees?"
Q155,Contract Law,United Kingdom,"What is the current law on formation of contracts by conduct under English law?"
Q156,Contract Law,United Kingdom,"How have English courts addressed the issue of mistake in equity in commercial contract disputes?"
Q157,Contract Law,United Kingdom,"What is the leading English authority on the scope of pre-contractual liability under misrepresentation?"
Q158,Contract Law,United Kingdom,"How have English courts interpreted assignment clauses in commercial contracts?"
Q159,Contract Law,United Kingdom,"What is the leading English authority on the measure of damages for anticipatory breach of contract?"
Q160,Contract Law,United Kingdom,"How have English courts addressed the construction of conditions precedent in commercial contracts?"
Q161,Contract Law,United Kingdom,"What is the leading English authority on the Contracts (Rights of Third Parties) Act 1999?"
Q162,Contract Law,United Kingdom,"How have English courts applied the test for offer and acceptance in contracts formed by conduct?"
Q163,Contract Law,United Kingdom,"What is the current English authority on the enforceability of automatic termination clauses in commercial contracts?"
Q164,Contract Law,United Kingdom,"How have English courts interpreted the scope of the duty to mitigate loss in contract cases?"
Q165,Contract Law,United Kingdom,"What is the leading English authority on the effect of misrepresentation on contractual exclusion clauses?"
Q166,Contract Law,India,"What is the leading Supreme Court authority on the doctrine of frustration under Section 56 of the Indian Contract Act 1872?"
Q167,Contract Law,India,"How have Indian courts interpreted the requirements for a valid offer and acceptance under the Indian Contract Act 1872?"
Q168,Contract Law,India,"What is the current Indian authority on the enforceability of arbitration clauses in commercial contracts?"
Q169,Contract Law,India,"How have Indian courts applied the doctrine of promissory estoppel in commercial disputes?"
Q170,Contract Law,India,"What is the leading Indian authority on the assessment of damages for breach of contract under Section 73 of the Contract Act?"
Q171,Contract Law,India,"How have Indian courts interpreted the doctrine of privity of contract and its exceptions?"
Q172,Contract Law,India,"What constitutes coercion for the purposes of Section 15 of the Indian Contract Act 1872?"
Q173,Contract Law,India,"How have Indian courts applied the doctrine of undue influence under Section 16 of the Contract Act?"
Q174,Contract Law,India,"What is the leading Indian authority on the enforceability of agreements in restraint of trade under Section 27 of the Contract Act?"
Q175,Contract Law,India,"How have Indian courts interpreted the provisions relating to indemnity and guarantee under the Contract Act 1872?"
Q176,Contract Law,India,"What is the current Indian authority on the specific performance of contracts under the Specific Relief Act 1963?"
Q177,Contract Law,India,"How have Indian courts addressed the issue of misrepresentation under Section 18 of the Indian Contract Act?"
Q178,Contract Law,India,"What is the leading Indian authority on the enforceability of penalty clauses under Section 74 of the Contract Act?"
Q179,Contract Law,India,"How have Indian courts interpreted the requirements for a valid contract of agency under the Contract Act 1872?"
Q180,Contract Law,India,"What is the doctrine of unjust enrichment and how have Indian courts applied it in commercial disputes?"
Q181,Contract Law,India,"How have Indian courts interpreted standard form contracts and the doctrine of unconscionability?"
Q182,Contract Law,India,"What is the leading Indian authority on the formation of contracts by electronic means under the Information Technology Act 2000?"
Q183,Contract Law,India,"How have Indian courts addressed the enforceability of non-compete clauses in employment contracts?"
Q184,Contract Law,India,"What is the scope of the doctrine of frustration in Indian contract law following the COVID-19 pandemic?"
Q185,Contract Law,India,"How have Indian courts interpreted liquidated damages clauses in infrastructure contracts?"
Q186,Contract Law,India,"What is the leading Indian authority on the rights of a surety under a contract of guarantee?"
Q187,Contract Law,India,"How have Indian courts addressed the issue of novation and substitution of contracts?"
Q188,Contract Law,India,"What is the leading Indian authority on the validity of contracts made under mistake of fact?"
Q189,Contract Law,India,"How have Indian courts interpreted the doctrine of part performance in relation to immovable property contracts?"
Q190,Contract Law,India,"What is the current Indian law on the assignment of contractual rights and obligations?"
Q191,Contract Law,India,"How have Indian courts applied the doctrine of anticipatory breach in commercial contract disputes?"
Q192,Contract Law,India,"What is the leading Indian authority on the measure of damages for wrongful termination of commercial contracts?"
Q193,Contract Law,India,"How have Indian courts interpreted the requirements for valid consideration under the Contract Act 1872?"
Q194,Contract Law,India,"What is the scope of the parol evidence rule in Indian contract law?"
Q195,Contract Law,India,"How have Indian courts addressed the enforceability of entire agreement clauses in commercial contracts?"
Q196,Contract Law,India,"What is the leading Indian authority on the availability of injunctions to enforce negative covenants in contracts?"
Q197,Contract Law,India,"How have Indian courts interpreted the provisions of the Sale of Goods Act 1930 in commercial disputes?"
Q198,Contract Law,India,"What constitutes free consent under the Indian Contract Act and how have courts assessed it?"
Q199,Contract Law,India,"How have Indian courts addressed the issue of capacity to contract in relation to persons of unsound mind?"
Q200,Contract Law,India,"What is the leading Indian authority on the doctrine of constructive notice in contract law?"
Q201,Intellectual Property,United States,"What is the test for copyright originality in the United States following Feist Publications v Rural Telephone?"
Q202,Intellectual Property,United States,"How have US courts applied the fair use doctrine under Section 107 of the Copyright Act?"
Q203,Intellectual Property,United States,"What is the leading US authority on the patentability of software following Alice Corp v CLS Bank?"
Q204,Intellectual Property,United States,"How have US courts interpreted the standard for trademark likelihood of confusion under the Lanham Act?"
Q205,Intellectual Property,United States,"What is the doctrine of equivalents in US patent law and how have courts limited its scope?"
Q206,Intellectual Property,United States,"How have US courts applied the first sale doctrine in copyright law?"
Q207,Intellectual Property,United States,"What is the leading US authority on trade secret misappropriation under the Defend Trade Secrets Act 2016?"
Q208,Intellectual Property,United States,"How have US courts interpreted the scope of patent claim construction following Markman v Westview?"
Q209,Intellectual Property,United States,"What is the test for copyright infringement by substantial similarity under US law?"
Q210,Intellectual Property,United States,"How have US courts addressed the copyright protection of computer programs following Oracle v Google?"
Q211,Intellectual Property,United States,"What is the leading US authority on secondary liability for copyright infringement following Grokster?"
Q212,Intellectual Property,United States,"How have US courts interpreted the anti-dilution provisions of the Lanham Act?"
Q213,Intellectual Property,United States,"What is the standard for obviousness in US patent law following KSR International v Teleflex?"
Q214,Intellectual Property,United States,"How have US courts addressed the enforceability of patent exhaustion doctrine?"
Q215,Intellectual Property,United States,"What is the leading US authority on the protection of trade dress under the Lanham Act?"
Q216,Intellectual Property,United States,"How have US courts interpreted the work for hire doctrine in copyright law?"
Q217,Intellectual Property,United States,"What is the scope of copyright protection for compilations and databases under US law?"
Q218,Intellectual Property,United States,"How have US courts applied the doctrine of laches in intellectual property disputes?"
Q219,Intellectual Property,United States,"What is the leading US authority on the registration requirement for copyright enforcement?"
Q220,Intellectual Property,United States,"How have US courts addressed the protection of design patents following Egyptian Goddess v Swisa?"
Q221,Intellectual Property,United States,"What is the standard for trademark abandonment under the Lanham Act?"
Q222,Intellectual Property,United States,"How have US courts interpreted the scope of the written description requirement in patent law?"
Q223,Intellectual Property,United States,"What is the leading US authority on damages assessment in patent infringement cases?"
Q224,Intellectual Property,United States,"How have US courts addressed the copyrightability of architectural works?"
Q225,Intellectual Property,United States,"What is the leading US authority on the scope of the DMCA safe harbour for online platforms?"
Q226,Intellectual Property,United States,"How have US courts interpreted the doctrine of reverse doctrine of equivalents in patent cases?"
Q227,Intellectual Property,United States,"What is the standard for granting a preliminary injunction in intellectual property cases under US law?"
Q228,Intellectual Property,United States,"How have US courts applied the functionality doctrine in trademark and trade dress cases?"
Q229,Intellectual Property,United States,"What is the leading US authority on the patentability of diagnostic methods following Mayo v Prometheus?"
Q230,Intellectual Property,United States,"How have US courts interpreted the scope of moral rights in US copyright law?"
Q231,Intellectual Property,United States,"What is the leading US authority on the enforceability of licensing agreements in patent cases?"
Q232,Intellectual Property,United States,"How have US courts addressed copyright protection for fashion designs?"
Q233,Intellectual Property,United States,"What is the test for wilful trademark infringement under the Lanham Act?"
Q234,Intellectual Property,United States,"How have US courts interpreted the safe harbour provisions of the Audio Home Recording Act?"
Q235,Intellectual Property,United Kingdom,"What is the leading English authority on the test for originality in copyright law following Infopaq?"
Q236,Intellectual Property,United Kingdom,"How have English courts interpreted the scope of the fair dealing exceptions under the CDPA 1988?"
Q237,Intellectual Property,United Kingdom,"What is the leading UK authority on patentability of computer-implemented inventions following Aerotel v Telkom?"
Q238,Intellectual Property,United Kingdom,"How have English courts applied the likelihood of confusion test in trademark infringement cases?"
Q239,Intellectual Property,United Kingdom,"What is the current UK authority on the scope of database rights under the Database Directive?"
Q240,Intellectual Property,United Kingdom,"How have English courts interpreted the test for passing off following Reckitt and Colman v Borden?"
Q241,Intellectual Property,United Kingdom,"What is the leading UK authority on the scope of the exhaustion doctrine in intellectual property law?"
Q242,Intellectual Property,United Kingdom,"How have English courts addressed the protection of get-up and trade dress in passing off claims?"
Q243,Intellectual Property,United Kingdom,"What is the leading UK authority on the ownership of copyright in works created by employees?"
Q244,Intellectual Property,United Kingdom,"How have English courts interpreted the scope of secondary liability for intellectual property infringement?"
Q245,Intellectual Property,United Kingdom,"What is the leading UK authority on the assessment of damages in patent infringement cases?"
Q246,Intellectual Property,United Kingdom,"How have English courts interpreted the non-obviousness requirement for patent validity in the UK?"
Q247,Intellectual Property,United Kingdom,"What is the scope of moral rights protection under the CDPA 1988?"
Q248,Intellectual Property,United Kingdom,"How have English courts interpreted the defence of prior use in trademark infringement cases?"
Q249,Intellectual Property,United Kingdom,"What is the leading UK authority on the patentability of pharmaceutical dosage regimes?"
Q250,Intellectual Property,United Kingdom,"How have English courts interpreted the scope of the honest concurrent use defence in trademark law?"
Q251,Intellectual Property,United Kingdom,"What is the leading UK authority on the scope of copyright protection for software?"
Q252,Intellectual Property,United Kingdom,"How have English courts addressed the validity of patent claims following Actavis v Lilly?"
Q253,Intellectual Property,United Kingdom,"What is the current UK authority on trade mark dilution following the implementation of the EU Trade Mark Directive?"
