question_id,domain,jurisdiction,question_text
Q254,Intellectual Property,United Kingdom,"How have English courts interpreted the doctrine of groundless threats in intellectual property proceedings?"
Q255,Intellectual Property,United Kingdom,"What is the leading UK authority on the protection of confidential information as a species of intellectual property?"
Q256,Intellectual Property,United Kingdom,"How have English courts applied the doctrine of acquiescence in intellectual property disputes?"
Q257,Intellectual Property,United Kingdom,"What is the scope of the sui generis database right under UK law following Brexit?"
Q258,Intellectual Property,United Kingdom,"How have English courts interpreted the scope of the implied licence in patent licensing agreements?"
Q259,Intellectual Property,United Kingdom,"What is the leading UK authority on the liability of internet service providers for copyright infringement?"
Q260,Intellectual Property,United Kingdom,"How have English courts addressed the protection of product designs under registered and unregistered design rights?"
Q261,Intellectual Property,United Kingdom,"What is the leading UK authority on the test for infringement of a registered trademark by comparative advertising?"
Q262,Intellectual Property,United Kingdom,"How have English courts interpreted the scope of the springboard doctrine in trade secret cases?"
Q263,Intellectual Property,United Kingdom,"What is the current UK authority on the ownership and exploitation of rights in performers?"
Q264,Intellectual Property,United Kingdom,"How have English courts interpreted the scope of the permitted acts in copyright law for education and research?"
Q265,Intellectual Property,United Kingdom,"What is the leading UK authority on the validity of shape marks under trademark law?"
Q266,Intellectual Property,United Kingdom,"How have English courts interpreted the scope of the exhaustion of rights doctrine post-Brexit?"
Q267,Intellectual Property,United Kingdom,"What is the leading UK authority on the scope of patent protection for second medical uses?"
Q268,Intellectual Property,India,"What is the leading Supreme Court authority on the test for copyright originality under the Copyright Act 1957?"
Q269,Intellectual Property,India,"How have Indian courts interpreted the scope of fair dealing under Section 52 of the Copyright Act 1957?"
Q270,Intellectual Property,India,"What is the leading Indian authority on the patentability of pharmaceutical compounds under Section 3(d) of the Patents Act 1970?"
Q271,Intellectual Property,India,"How have Indian courts applied the test for trademark likelihood of confusion under the Trade Marks Act 1999?"
Q272,Intellectual Property,India,"What is the current Indian authority on the compulsory licensing of patents under the Patents Act 1970?"
Q273,Intellectual Property,India,"How have Indian courts interpreted the scope of the passing off action in relation to unregistered trademarks?"
Q274,Intellectual Property,India,"What is the leading Indian authority on the protection of computer programs under the Copyright Act 1957?"
Q275,Intellectual Property,India,"How have Indian courts addressed the protection of geographical indications under the Geographical Indications of Goods Act 1999?"
Q276,Intellectual Property,India,"What is the scope of the doctrine of exhaustion of rights under Indian intellectual property law?"
Q277,Intellectual Property,India,"How have Indian courts interpreted the provisions relating to assignment of copyright under the Copyright Act 1957?"
Q278,Intellectual Property,India,"What is the leading Indian authority on the protection of trade secrets and confidential information?"
Q279,Intellectual Property,India,"How have Indian courts addressed the issue of parallel imports in intellectual property law?"
Q280,Intellectual Property,India,"What is the leading Indian authority on the assessment of damages in copyright infringement cases?"
Q281,Intellectual Property,India,"How have Indian courts interpreted the scope of the moral rights of authors under the Copyright Act 1957?"
Q282,Intellectual Property,India,"What is the current Indian authority on the protection of plant varieties under the Protection of Plant Varieties and Farmers Rights Act 2001?"
Q283,Intellectual Property,India,"How have Indian courts applied the doctrine of passing off in disputes involving domain names?"
Q284,Intellectual Property,India,"What is the leading Indian authority on the registrability of non-traditional trademarks under the Trade Marks Act 1999?"
Q285,Intellectual Property,India,"How have Indian courts interpreted the scope of the compulsory licence provisions under the Copyright Act 1957?"
Q286,Intellectual Property,India,"What is the leading Indian authority on the patentability of software-related inventions?"
Q287,Intellectual Property,India,"How have Indian courts addressed the protection of traditional knowledge and folklore under intellectual property law?"
Q288,Intellectual Property,India,"What is the scope of the rights of a licensee under an exclusive patent licence in Indian law?"
Q289,Intellectual Property,India,"How have Indian courts interpreted the provisions relating to revocation of patents under the Patents Act 1970?"
Q290,Intellectual Property,India,"What is the leading Indian authority on the protection of industrial designs under the Designs Act 2000?"
Q291,Intellectual Property,India,"How have Indian courts addressed the issue of well-known trademarks under the Trade Marks Act 1999?"
Q292,Intellectual Property,India,"What is the leading Indian authority on the scope of copyright in sound recordings under the Copyright Act 1957?"
Q293,Intellectual Property,India,"How have Indian courts interpreted the doctrine of first ownership of copyright in works made for hire?"
Q294,Intellectual Property,India,"What is the current Indian authority on the enforcement of intellectual property rights against online infringement?"
Q295,Intellectual Property,India,"How have Indian courts applied the doctrine of unjust enrichment in intellectual property disputes?"
Q296,Intellectual Property,India,"What is the leading Indian authority on the protection of semiconductor layout designs?"
Q297,Intellectual Property,India,"How have Indian courts interpreted the provisions relating to border measures for intellectual property protection?"
Q298,Intellectual Property,India,"What is the scope of the defence of innocent infringement in Indian copyright law?"
Q299,Intellectual Property,India,"How have Indian courts addressed the registration and enforcement of certification marks?"
Q300,Intellectual Property,India,"What is the leading Indian authority on the scope of the licence of right provisions under the Patents Act 1970?"
Q301,Constitutional Law,United States,"What is the standard of review applied by US courts to government restrictions on freedom of speech under the First Amendment?"
Q302,Constitutional Law,United States,"How have US courts applied the doctrine of substantive due process following Obergefell v Hodges?"
Q303,Constitutional Law,United States,"What is the leading US authority on the scope of Congress's Commerce Clause power following NFIB v Sebelius?"
Q304,Constitutional Law,United States,"How have US courts interpreted the Equal Protection Clause in cases involving racial classifications?"
Q305,Constitutional Law,United States,"What is the current US authority on the Second Amendment right to bear arms following Bruen?"
Q306,Constitutional Law,United States,"How have US courts applied the doctrine of sovereign immunity in suits against state governments?"
Q307,Constitutional Law,United States,"What is the leading US authority on the non-delegation doctrine following Gundy v United States?"
Q308,Constitutional Law,United States,"How have US courts interpreted the Establishment Clause of the First Amendment following Kennedy v Bremerton?"
Q309,Constitutional Law,United States,"What is the scope of executive privilege under US constitutional law following United States v Nixon?"
Q310,Constitutional Law,United States,"How have US courts addressed the constitutional limits of administrative agency power following West Virginia v EPA?"
Q311,Constitutional Law,United States,"What is the leading US authority on the doctrine of standing in constitutional litigation?"
Q312,Constitutional Law,United States,"How have US courts interpreted the scope of congressional immunity under the Speech or Debate Clause?"
Q313,Constitutional Law,United States,"What is the current US authority on the constitutional right to abortion following Dobbs v Jackson?"
Q314,Constitutional Law,United States,"How have US courts applied the doctrine of political question in constitutional cases?"
Q315,Constitutional Law,United States,"What is the leading US authority on the constitutional protection of commercial speech?"
Q316,Constitutional Law,United States,"How have US courts interpreted the scope of the Tenth Amendment reservation of powers to states?"
Q317,Constitutional Law,United States,"What is the leading US authority on the constitutional limits of federal spending power?"
Q318,Constitutional Law,United States,"How have US courts applied the doctrine of qualified immunity in constitutional tort cases?"
Q319,Constitutional Law,United States,"What is the current US authority on the constitutional protection of digital privacy following Carpenter v United States?"
Q320,Constitutional Law,United States,"How have US courts addressed the constitutionality of affirmative action in higher education following SFFA v Harvard?"
Q321,Constitutional Law,United States,"What is the leading US authority on the constitutional protection of religious exercise under the Free Exercise Clause?"
Q322,Constitutional Law,United States,"How have US courts interpreted the Fourteenth Amendment's Privileges or Immunities Clause?"
Q323,Constitutional Law,United States,"What is the scope of the presidential pardon power under US constitutional law?"
Q324,Constitutional Law,United States,"How have US courts addressed the constitutional limits of the war powers of the executive?"
Q325,Constitutional Law,United States,"What is the leading US authority on the constitutional protection of anonymous speech?"
Q326,Constitutional Law,United States,"How have US courts applied the dormant Commerce Clause doctrine to state regulations?"
Q327,Constitutional Law,United States,"What is the current US authority on the constitutional status of independent agencies following Seila Law v CFPB?"
Q328,Constitutional Law,United States,"How have US courts interpreted the scope of judicial review of executive orders?"
Q329,Constitutional Law,United States,"What is the leading US authority on the constitutional protection of student speech in schools?"
Q330,Constitutional Law,United States,"How have US courts addressed the constitutional implications of racial gerrymandering?"
Q331,Constitutional Law,United States,"What is the current US authority on the constitutional limits of campaign finance regulation following Citizens United?"
Q332,Constitutional Law,United States,"How have US courts interpreted the scope of the takings clause in relation to regulatory takings?"
Q333,Constitutional Law,United States,"What is the leading US authority on the constitutional protection of the press under the First Amendment?"
Q334,Constitutional Law,United Kingdom,"What is the leading English authority on the constitutional doctrine of parliamentary sovereignty following Miller?"
Q335,Constitutional Law,United Kingdom,"How have English courts applied the Human Rights Act 1998 to public authority decisions?"
Q336,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional principle of the rule of law following Anisminic?"
Q337,Constitutional Law,United Kingdom,"How have English courts interpreted the scope of judicial review of prerogative powers following GCHQ?"
Q338,Constitutional Law,United Kingdom,"What is the current UK authority on the constitutional status of retained EU law following Brexit?"
Q339,Constitutional Law,United Kingdom,"How have UK courts addressed the constitutional principle of separation of powers in administrative law?"
Q340,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional protection of freedom of expression under the HRA?"
Q341,Constitutional Law,United Kingdom,"How have English courts applied the principle of legality in statutory interpretation following Simms?"
Q342,Constitutional Law,United Kingdom,"What is the current UK authority on parliamentary privilege and its limits following Chaytor?"
Q343,Constitutional Law,United Kingdom,"How have UK courts addressed the constitutional implications of devolution following the Scotland Act 1998?"
Q344,Constitutional Law,United Kingdom,"What is the leading UK authority on the scope of the constitutional right to a fair trial under Article 6 ECHR?"
Q345,Constitutional Law,United Kingdom,"How have English courts interpreted the constitutional principle of substantive legitimate expectation?"
Q346,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional protection of privacy following PG and JH v UK?"
Q347,Constitutional Law,United Kingdom,"How have UK courts addressed the constitutional implications of emergency legislation?"
Q348,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional limits of delegated legislation?"
Q349,Constitutional Law,United Kingdom,"How have English courts applied the constitutional doctrine of proportionality in public law?"
Q350,Constitutional Law,United Kingdom,"What is the current UK authority on the constitutional protection of freedom of assembly and association?"
Q351,Constitutional Law,United Kingdom,"How have UK courts interpreted the constitutional principle of equal treatment in public law?"
Q352,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional implications of international treaties for domestic law?"
Q353,Constitutional Law,United Kingdom,"How have English courts addressed the constitutional principle of irrationality in judicial review?"
Q354,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional protection of the right to vote?"
Q355,Constitutional Law,United Kingdom,"How have UK courts interpreted the constitutional principle of accessibility of the law?"
Q356,Constitutional Law,United Kingdom,"What is the current UK authority on the constitutional limits of parliamentary prorogation following Miller 2?"
Q357,Constitutional Law,United Kingdom,"How have English courts addressed the constitutional principle of open justice in judicial proceedings?"
Q358,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional protection of refugees and asylum seekers?"
Q359,Constitutional Law,United Kingdom,"How have UK courts interpreted the doctrine of constitutional statutes following Thoburn v Sunderland?"
Q360,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional principle of legal certainty in administrative law?"
Q361,Constitutional Law,United Kingdom,"How have English courts applied the constitutional doctrine of non-justiciability in foreign affairs cases?"
Q362,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional protection of freedom of religion under the HRA?"
Q363,Constitutional Law,United Kingdom,"How have UK courts addressed the constitutional principle of effective remedy under Article 13 ECHR?"
Q364,Constitutional Law,United Kingdom,"What is the leading UK authority on the constitutional limits of the doctrine of necessity?"
Q365,Constitutional Law,United Kingdom,"How have English courts interpreted the constitutional principle of accountability in public law?"
Q366,Constitutional Law,United Kingdom,"What is the current UK authority on the constitutional implications of the Northern Ireland Protocol?"
Q367,Constitutional Law,India,"What is the leading Supreme Court authority on the basic structure doctrine of the Indian Constitution?"
Q368,Constitutional Law,India,"How has the Supreme Court of India interpreted the scope of fundamental rights under Part III of the Constitution?"
Q369,Constitutional Law,India,"What is the leading Indian authority on the constitutional right to privacy following Puttaswamy?"
Q370,Constitutional Law,India,"How has the Supreme Court of India applied the doctrine of proportionality in constitutional review?"
Q371,Constitutional Law,India,"What is the current Indian authority on the constitutional status of the right to equality under Article 14?"
Q372,Constitutional Law,India,"How has the Supreme Court of India interpreted the scope of Article 21 following Maneka Gandhi v Union of India?"
Q373,Constitutional Law,India,"What is the leading Indian authority on the constitutional validity of reservation policies under Articles 15 and 16?"
Q374,Constitutional Law,India,"How has the Supreme Court of India addressed the constitutional independence of the judiciary?"
Q375,Constitutional Law,India,"What is the leading Indian authority on the doctrine of colourable legislation in constitutional law?"
Q376,Constitutional Law,India,"How has the Supreme Court of India interpreted the scope of freedom of speech and expression under Article 19(1)(a)?"
Q377,Constitutional Law,India,"What is the current Indian authority on the constitutional status of the right to education under Article 21A?"
Q378,Constitutional Law,India,"How has the Supreme Court of India addressed the constitutional implications of emergency provisions under Articles 352 to 360?"
Q379,Constitutional Law,India,"What is the leading Indian authority on the constitutional principle of secularism?"
Q380,Constitutional Law,India,"How has the Supreme Court of India interpreted the scope of directive principles under Part IV of the Constitution?"
Q381,Constitutional Law,India,"What is the leading Indian authority on the constitutional protection of personal liberty under Article 22?"
Q382,Constitutional Law,India,"How has the Supreme Court of India interpreted the limits of judicial review of constitutional amendments?"
Q383,Constitutional Law,India,"What is the current Indian authority on the constitutional protection of freedom of religion under Article 25?"
Q384,Constitutional Law,India,"How has the Supreme Court addressed the constitutional validity of anti-defection provisions under the Tenth Schedule?"
Q385,Constitutional Law,India,"What is the leading Indian authority on the constitutional right to life and the prohibition of arbitrary state action?"
Q386,Constitutional Law,India,"How has the Supreme Court of India interpreted the scope of the right against exploitation under Articles 23 and 24?"
Q387,Constitutional Law,India,"What is the leading Indian authority on the constitutional validity of preventive detention laws?"
Q388,Constitutional Law,India,"How has the Supreme Court of India applied the doctrine of implied powers under the Constitution?"
Q389,Constitutional Law,India,"What is the current Indian authority on the constitutional status of the right to strike?"
Q390,Constitutional Law,India,"How has the Supreme Court of India interpreted the constitutional principle of cooperative federalism?"
Q391,Constitutional Law,India,"What is the leading Indian authority on the constitutional right to constitutional remedies under Article 32?"
Q392,Constitutional Law,India,"How has the Supreme Court of India addressed the constitutional implications of Governor's discretion?"
Q393,Constitutional Law,India,"What is the leading Indian authority on the constitutional protection of minority rights under Articles 29 and 30?"
Q394,Constitutional Law,India,"How has the Supreme Court of India interpreted the scope of fundamental duties under Article 51A?"
Q395,Constitutional Law,India,"What is the current Indian authority on the constitutional validity of special laws for backward classes?"
Q396,Constitutional Law,India,"How has the Supreme Court of India interpreted the scope of freedom of trade and commerce under Article 301?"
Q397,Constitutional Law,India,"What is the leading Indian authority on the constitutional limits of legislative privileges?"
Q398,Constitutional Law,India,"How has the Supreme Court of India addressed the constitutional validity of land acquisition laws?"
Q399,Constitutional Law,India,"What is the leading Indian authority on the scope of habeas corpus in constitutional proceedings?"
Q400,Constitutional Law,India,"How has the Supreme Court of India interpreted the constitutional principle of equality before the law?"
Q401,Data Protection,United States,"What is the leading US authority on the scope of the California Consumer Privacy Act and its application to data brokers?"
Q402,Data Protection,United States,"How have US courts interpreted the requirement for meaningful consent in the collection of personal data?"
Q403,Data Protection,United States,"What is the current US authority on the Federal Trade Commission's jurisdiction over data privacy violations?"
Q404,Data Protection,United States,"How have US courts addressed the standing requirements for data breach class actions following Spokeo v Robins?"
Q405,Data Protection,United States,"What is the leading US authority on the application of the Stored Communications Act to law enforcement access to data?"
Q406,Data Protection,United States,"How have US courts interpreted the scope of the Health Insurance Portability and Accountability Act privacy provisions?"
Q407,Data Protection,United States,"What is the current US authority on the application of the Children's Online Privacy Protection Act?"
Q408,Data Protection,United States,"How have US courts addressed the enforceability of data processing agreements in commercial contracts?"
Q409,Data Protection,United States,"What is the leading US authority on the liability of data processors following a breach affecting third-party data?"
Q410,Data Protection,United States,"How have US courts interpreted the scope of the Gramm-Leach-Bliley Act privacy provisions for financial institutions?"
Q411,Data Protection,United States,"What is the current US authority on the application of biometric privacy laws in Illinois and Texas?"
Q412,Data Protection,United States,"How have US courts addressed the privacy implications of workplace monitoring under federal and state law?"
Q413,Data Protection,United States,"What is the leading US authority on the privacy rights of employees in employer-provided devices?"
Q414,Data Protection,United States,"How have US courts interpreted the scope of the Electronic Communications Privacy Act?"
Q415,Data Protection,United States,"What is the current US authority on the application of the Video Privacy Protection Act to streaming services?"
Q416,Data Protection,United States,"How have US courts addressed the privacy implications of location tracking under federal law?"
Q417,Data Protection,United States,"What is the leading US authority on the right to erasure or deletion of personal data under state privacy laws?"
Q418,Data Protection,United States,"How have US courts interpreted the scope of the Computer Fraud and Abuse Act in data privacy cases?"
Q419,Data Protection,United States,"What is the current US authority on the adequacy of contractual protections for cross-border data transfers?"
Q420,Data Protection,United States,"How have US courts addressed the liability of cloud service providers for data breaches?"
Q421,Data Protection,United States,"What is the leading US authority on the privacy rights of public sector employees?"
Q422,Data Protection,United States,"How have US courts interpreted the scope of the Fair Credit Reporting Act in relation to data aggregators?"
Q423,Data Protection,United States,"What is the current US authority on the constitutional dimensions of data privacy under the Fourth Amendment?"
Q424,Data Protection,United States,"How have US courts addressed the enforcement of privacy policies as contractual obligations?"
Q425,Data Protection,United States,"What is the leading US authority on the application of data minimisation principles under US state privacy laws?"
Q426,Data Protection,United States,"How have US courts interpreted the scope of exemptions from state privacy laws for employment data?"
Q427,Data Protection,United States,"What is the current US authority on the liability of social media platforms for data privacy violations?"
Q428,Data Protection,United States,"How have US courts addressed the privacy implications of artificial intelligence in automated decision-making?"
Q429,Data Protection,United States,"What is the leading US authority on the enforcement of data subject access rights under state privacy laws?"
Q430,Data Protection,United States,"How have US courts interpreted the scope of the right to opt out of data sales under the CCPA?"
Q431,Data Protection,United States,"What is the current US authority on the application of HIPAA to digital health applications?"
Q432,Data Protection,United States,"How have US courts addressed the privacy implications of facial recognition technology under state law?"
Q433,Data Protection,United States,"What is the leading US authority on the scope of the right to correct inaccurate personal data under state privacy laws?"
Q434,Data Protection,United Kingdom,"What is the leading UK authority on the interpretation of the UK GDPR following Brexit?"
Q435,Data Protection,United Kingdom,"How have UK courts interpreted the lawful bases for processing personal data under Article 6 UK GDPR?"
Q436,Data Protection,United Kingdom,"What is the current UK authority on the scope of the right of access under Article 15 UK GDPR?"
Q437,Data Protection,United Kingdom,"How have UK courts addressed the liability of data controllers for distress caused by data breaches?"
Q438,Data Protection,United Kingdom,"What is the leading UK authority on the application of the domestic purposes exemption under UK GDPR?"
Q439,Data Protection,United Kingdom,"How have UK courts interpreted the scope of the legitimate interests lawful basis under UK GDPR?"
Q440,Data Protection,United Kingdom,"What is the current UK authority on the transfer of personal data to third countries post-Brexit?"
Q441,Data Protection,United Kingdom,"How have UK courts addressed the application of data protection law to journalistic and research activities?"
Q442,Data Protection,United Kingdom,"What is the leading UK authority on the scope of the special categories provisions under UK GDPR?"
Q443,Data Protection,United Kingdom,"How have UK courts interpreted the requirements for a valid data processing agreement under Article 28 UK GDPR?"
Q444,Data Protection,United Kingdom,"What is the current UK authority on the scope of the ICO's enforcement powers under the Data Protection Act 2018?"
Q445,Data Protection,United Kingdom,"How have UK courts addressed the privacy implications of automated decision-making under Article 22 UK GDPR?"
Q446,Data Protection,United Kingdom,"What is the leading UK authority on the right to erasure under Article 17 UK GDPR?"
Q447,Data Protection,United Kingdom,"How have UK courts interpreted the scope of the accountability principle under Article 5(2) UK GDPR?"
Q448,Data Protection,United Kingdom,"What is the current UK authority on the application of the Law Enforcement Directive under the DPA 2018?"
Q449,Data Protection,United Kingdom,"How have UK courts addressed the privacy implications of workplace surveillance?"
Q450,Data Protection,United Kingdom,"What is the leading UK authority on the scope of subject access requests in litigation contexts?"
Q451,Data Protection,United Kingdom,"How have UK courts interpreted the scope of the right to data portability under Article 20 UK GDPR?"
Q452,Data Protection,United Kingdom,"What is the current UK authority on the liability of data processors under UK GDPR?"
Q453,Data Protection,United Kingdom,"How have UK courts addressed the privacy implications of cookies and tracking technologies under PECR?"
Q454,Data Protection,United Kingdom,"What is the leading UK authority on the scope of the right to object to processing under Article 21 UK GDPR?"
Q455,Data Protection,United Kingdom,"How have UK courts interpreted the requirements for valid consent under UK GDPR in the context of online services?"
Q456,Data Protection,United Kingdom,"What is the current UK authority on the scope of the national security exemption under the DPA 2018?"
Q457,Data Protection,United Kingdom,"How have UK courts addressed the data protection implications of cloud computing services?"
Q458,Data Protection,United Kingdom,"What is the leading UK authority on the application of the privacy by design principle under Article 25 UK GDPR?"
Q459,Data Protection,United Kingdom,"How have UK courts interpreted the scope of the right to restriction of processing under Article 18 UK GDPR?"
Q460,Data Protection,United Kingdom,"What is the current UK authority on the data protection implications of artificial intelligence systems?"
Q461,Data Protection,United Kingdom,"How have UK courts addressed the scope of the right to rectification under Article 16 UK GDPR?"
Q462,Data Protection,United Kingdom,"What is the leading UK authority on the application of data protection principles to CCTV surveillance?"
Q463,Data Protection,United Kingdom,"How have UK courts interpreted the scope of the exemption for legal proceedings under Schedule 2 DPA 2018?"
Q464,Data Protection,United Kingdom,"What is the current UK authority on the data protection implications of employee monitoring software?"
Q465,Data Protection,United Kingdom,"How have UK courts addressed the privacy implications of data sharing between public authorities?"
Q466,Data Protection,United Kingdom,"What is the leading UK authority on the scope of the right to compensation for non-material damage under Article 82 UK GDPR?"
Q467,Data Protection,India,"What is the leading Supreme Court authority on the right to privacy as a fundamental right under the Indian Constitution?"
Q468,Data Protection,India,"How have Indian courts interpreted the scope of data protection obligations under the Information Technology Act 2000?"
Q469,Data Protection,India,"What is the current Indian authority on the application of the Digital Personal Data Protection Act 2023 to data fiduciaries?"
Q470,Data Protection,India,"How have Indian courts addressed the liability of intermediaries for data breaches under the IT Act 2000?"
Q471,Data Protection,India,"What is the leading Indian authority on the right to be forgotten in the context of digital privacy?"
Q472,Data Protection,India,"How have Indian courts interpreted the scope of consent requirements for data processing under Indian law?"
Q473,Data Protection,India,"What is the current Indian authority on the data protection obligations of government agencies?"
Q474,Data Protection,India,"How have Indian courts addressed the privacy implications of Aadhaar data collection and processing?"
Q475,Data Protection,India,"What is the leading Indian authority on the scope of the right to access personal data held by private entities?"
Q476,Data Protection,India,"How have Indian courts interpreted the scope of data localisation requirements under Indian law?"
Q477,Data Protection,India,"What is the current Indian authority on the liability of data processors under the DPDP Act 2023?"
Q478,Data Protection,India,"How have Indian courts addressed the privacy implications of surveillance by state agencies?"
Q479,Data Protection,India,"What is the leading Indian authority on the application of data protection law to health information?"
Q480,Data Protection,India,"How have Indian courts interpreted the scope of the right to erasure under Indian data protection law?"
Q481,Data Protection,India,"What is the current Indian authority on the data protection obligations of social media platforms?"
Q482,Data Protection,India,"How have Indian courts addressed the privacy implications of employee monitoring in the workplace?"
Q483,Data Protection,India,"What is the leading Indian authority on the scope of consent as a lawful basis for data processing?"
Q484,Data Protection,India,"How have Indian courts interpreted the data protection implications of automated decision-making systems?"
Q485,Data Protection,India,"What is the current Indian authority on the application of data protection principles to financial institutions?"
Q486,Data Protection,India,"How have Indian courts addressed the privacy implications of biometric data collection?"
Q487,Data Protection,India,"What is the leading Indian authority on cross-border data transfers under Indian law?"
Q488,Data Protection,India,"How have Indian courts interpreted the scope of the right to rectification of inaccurate personal data?"
Q489,Data Protection,India,"What is the current Indian authority on the data protection obligations of cloud service providers?"
Q490,Data Protection,India,"How have Indian courts addressed the privacy implications of data sharing between government departments?"
Q491,Data Protection,India,"What is the leading Indian authority on the scope of exemptions from data protection obligations under the DPDP Act?"
Q492,Data Protection,India,"How have Indian courts interpreted the privacy implications of facial recognition technology deployment by the state?"
Q493,Data Protection,India,"What is the current Indian authority on the enforcement powers of the Data Protection Board under the DPDP Act 2023?"
Q494,Data Protection,India,"How have Indian courts addressed the data protection implications of fintech and digital payment services?"
Q495,Data Protection,India,"What is the leading Indian authority on the constitutional dimensions of informational self-determination?"
Q496,Data Protection,India,"How have Indian courts interpreted the scope of the right to data portability under Indian law?"
Q497,Data Protection,India,"What is the current Indian authority on the application of data protection law to children's data?"
Q498,Data Protection,India,"How have Indian courts addressed the privacy implications of smart city surveillance infrastructure?"
Q499,Data Protection,India,"What is the leading Indian authority on the liability of data fiduciaries for unauthorised secondary use of personal data?"
Q500,Data Protection,India,"How have Indian courts interpreted the scope of significant data fiduciary obligations under the DPDP Act 2023?"
